customer_id_old,source_id_old,customer_id_new,source_id_new
cus_KExMAUoKjqBWQi,src_1LQMLeKhuokAmGLh5mukx1iG,cus_KExMAUoKjqBWQi,src_1OrfJMCDacOypsYb61RMqbPf
cus_KExMAUoKjqBWQi,src_1KYGRmKhuokAmGLhwTGRG5B0,cus_KExMAUoKjqBWQi,src_1OrfJMCDacOypsYbsfk1Pj0m
cus_KEy9Y55T2cmZ82,,cus_KEy9Y55T2cmZ82,
cus_KEzBd9amn327tt,src_1JaVCvKhuokAmGLhzu0FcsG6,cus_KEzBd9amn327tt,src_1OrfJLCDacOypsYbSCyVcVog
cus_KF0xLWcDCPB08A,src_1JaWv3KhuokAmGLh1jPwA0pw,cus_KF0xLWcDCPB08A,src_1OrfJKCDacOypsYbqZjXL3mH
cus_KF0xLWcDCPB08A,src_1L1LQBKhuokAmGLhuscjU0XP,cus_KF0xLWcDCPB08A,src_1OrfJKCDacOypsYbTe1U6P3E
cus_KF0xLWcDCPB08A,src_1Mwf92KhuokAmGLhVifIrcOW,cus_KF0xLWcDCPB08A,src_1OrfJKCDacOypsYbSAuCyh5c
cus_KF0xLWcDCPB08A,src_1JaWvkKhuokAmGLhNljFIuPd,cus_KF0xLWcDCPB08A,src_1OrfJKCDacOypsYby3L7tbWv
cus_KF0xewCHeFAzFk,src_1MivWFKhuokAmGLhhaWr2a1D,cus_KF0xewCHeFAzFk,src_1OrfJJCDacOypsYbnOfzyRjg
cus_KF0xewCHeFAzFk,src_1MMaM8KhuokAmGLhK8tmIslN,cus_KF0xewCHeFAzFk,src_1OrfJJCDacOypsYbGmndS7Ep
cus_KFAGkB6ehHHdlm,,cus_KFAGkB6ehHHdlm,
cus_KFDGjWQWVxb8GE,src_1JaipzKhuokAmGLhJWH7hLm4,cus_KFDGjWQWVxb8GE,src_1OrfJICDacOypsYbzEJ9mDzV
cus_KFDa5IuxhYcOJs,src_1M9AcmKhuokAmGLhYXwtuDBY,cus_KFDa5IuxhYcOJs,src_1OrfJICDacOypsYb2BD8txsy
cus_KFDa5IuxhYcOJs,src_1Jaj94KhuokAmGLh8fdrfVpo,cus_KFDa5IuxhYcOJs,src_1OrfJICDacOypsYbyh5SLnVw
cus_KFbxX8OfmoveF2,src_1Jb6j9KhuokAmGLhmTnslmfg,cus_KFbxX8OfmoveF2,src_1OrfJHCDacOypsYbRXyTzdVt
cus_KG75ZsYnVSuLzr,src_1KgKBvKhuokAmGLhQyktFcs7,cus_KG75ZsYnVSuLzr,src_1OrfJGCDacOypsYboHW0VeEb
cus_KG75ZsYnVSuLzr,src_1JbarTKhuokAmGLhJJkqsRv0,cus_KG75ZsYnVSuLzr,src_1OrfJGCDacOypsYbqFBYAKWt
cus_KGJmGzAiHemwBs,src_1Jbn8mKhuokAmGLhcoLoqX93,cus_KGJmGzAiHemwBs,src_1OrfJGCDacOypsYbWdKUrQXU
